series_title,released_year,certificate,runtime,genre,imdb_rating,meta_score,gross,genre1,genre2,genre3
Sin City,2005,A,124 min,"Crime, Thriller",8.0,74.0,"74,103,820",Crime,Thriller,
Le scaphandre et le papillon,2007,PG-13,112 min,"Biography, Drama",8.0,92.0,"5,990,075",Biography,Drama,
G.O.R.A.,2004,,127 min,"Adventure, Comedy, Sci-Fi",8.0,,,Adventure,Comedy,Sci-Fi
Ratatouille,2007,U,111 min,"Animation, Adventure, Comedy",8.0,96.0,"206,445,654",Animation,Adventure,Comedy
Casino Royale,2006,PG-13,144 min,"Action, Adventure, Thriller",8.0,80.0,"167,445,960",Action,Adventure,Thriller
Kill Bill: Vol. 2,2004,A,137 min,"Action, Crime, Thriller",8.0,83.0,"66,208,183",Action,Crime,Thriller
Vozvrashchenie,2003,,110 min,Drama,8.0,82.0,"502,028",Drama,,
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,R,103 min,"Drama, Romance",8.0,85.0,"2,380,788",Drama,Romance,
Mar adentro,2014,U,126 min,"Biography, Drama",8.0,74.0,"2,086,345",Biography,Drama,
Cinderella Man,2005,UA,144 min,"Biography, Drama, History",8.0,69.0,"61,649,911",Biography,Drama,History
Kal Ho Naa Ho,2003,U,186 min,"Comedy, Drama, Musical",8.0,54.0,"1,787,378",Comedy,Drama,Musical
Mou gaan dou,2002,UA,101 min,"Action, Crime, Drama",8.0,75.0,"169,659",Action,Crime,Drama
Pirates of the Caribbean: The Curse of the Black Pearl,2003,UA,143 min,"Action, Adventure, Fantasy",8.0,63.0,"305,413,918",Action,Adventure,Fantasy
Big Fish,2003,U,125 min,"Adventure, Drama, Fantasy",8.0,58.0,"66,257,002",Adventure,Drama,Fantasy
The Incredibles,2004,U,115 min,"Animation, Action, Adventure",8.0,90.0,"261,441,092",Animation,Action,Adventure
Yeopgijeogin geunyeo,2001,,137 min,"Comedy, Drama, Romance",8.0,,,Comedy,Drama,Romance
Dogville,2003,R,178 min,"Crime, Drama",8.0,60.0,"1,530,386",Crime,Drama,
Vizontele,2001,,110 min,"Comedy, Drama",8.0,,,Comedy,Drama,
Donnie Darko,2001,R,113 min,"Drama, Mystery, Sci-Fi",8.0,88.0,"1,480,006",Drama,Mystery,Sci-Fi
Magnolia,1999,R,188 min,Drama,8.0,77.0,"22,455,976",Drama,,
Dancer in the Dark,2000,U,140 min,"Crime, Drama, Musical",8.0,61.0,"4,184,036",Crime,Drama,Musical
The Straight Story,1999,U,112 min,"Biography, Drama",8.0,86.0,"6,203,044",Biography,Drama,
Pâfekuto burû,1997,A,81 min,"Animation, Crime, Mystery",8.0,,"776,665",Animation,Crime,Mystery
Festen,1998,R,105 min,Drama,8.0,82.0,"1,647,780",Drama,,
Central do Brasil,1998,R,110 min,Drama,8.0,80.0,"5,595,428",Drama,,
The Iron Giant,1999,PG,86 min,"Animation, Action, Adventure",8.0,85.0,"23,159,305",Animation,Action,Adventure
Knockin' on Heaven's Door,1997,,87 min,"Action, Crime, Comedy",8.0,,"3,296",Action,Crime,Comedy
Sling Blade,1996,R,135 min,Drama,8.0,84.0,"24,475,416",Drama,,
Secrets & Lies,1996,U,136 min,"Comedy, Drama",8.0,91.0,"13,417,292",Comedy,Drama,
Twelve Monkeys,1995,A,129 min,"Mystery, Sci-Fi, Thriller",8.0,74.0,"57,141,459",Mystery,Sci-Fi,Thriller
Kôkaku Kidôtai,1995,UA,83 min,"Animation, Action, Crime",8.0,76.0,"515,905",Animation,Action,Crime
The Nightmare Before Christmas,1993,U,76 min,"Animation, Family, Fantasy",8.0,82.0,"75,082,668",Animation,Family,Fantasy
Groundhog Day,1993,U,101 min,"Comedy, Fantasy, Romance",8.0,72.0,"70,906,973",Comedy,Fantasy,Romance
Bound by Honor,1993,R,180 min,"Crime, Drama",8.0,47.0,"4,496,583",Crime,Drama,
Scent of a Woman,1992,UA,156 min,Drama,8.0,59.0,"63,895,607",Drama,,
Aladdin,1992,U,90 min,"Animation, Adventure, Comedy",8.0,86.0,"217,350,219",Animation,Adventure,Comedy
JFK,1991,UA,189 min,"Drama, History, Thriller",8.0,72.0,"70,405,498",Drama,History,Thriller
Beauty and the Beast,1991,G,84 min,"Animation, Family, Fantasy",8.0,95.0,"218,967,620",Animation,Family,Fantasy
Dances with Wolves,1990,U,181 min,"Adventure, Drama, Western",8.0,72.0,"184,208,848",Adventure,Drama,Western
Do the Right Thing,1989,R,120 min,"Comedy, Drama",8.0,93.0,"27,545,445",Comedy,Drama,
Rain Man,1988,U,133 min,Drama,8.0,65.0,"178,800,000",Drama,,
Akira,1988,UA,124 min,"Animation, Action, Sci-Fi",8.0,,"553,171",Animation,Action,Sci-Fi
The Princess Bride,1987,U,98 min,"Adventure, Family, Fantasy",8.0,77.0,"30,857,814",Adventure,Family,Fantasy
Der Himmel über Berlin,1987,U,128 min,"Drama, Fantasy, Romance",8.0,79.0,"3,333,969",Drama,Fantasy,Romance
Au revoir les enfants,1987,U,104 min,"Drama, War",8.0,88.0,"4,542,825",Drama,War,
Tenkû no shiro Rapyuta,1986,U,125 min,"Animation, Adventure, Drama",8.0,78.0,,Animation,Adventure,Drama
The Terminator,1984,UA,107 min,"Action, Sci-Fi",8.0,84.0,"38,400,000",Action,Sci-Fi,
Gandhi,1982,U,191 min,"Biography, Drama, History",8.0,79.0,"52,767,889",Biography,Drama,History
Kagemusha,1980,U,180 min,"Drama, History, War",8.0,84.0,,Drama,History,War
Being There,1979,PG,130 min,"Comedy, Drama",8.0,83.0,"30,177,511",Comedy,Drama,
Annie Hall,1977,A,93 min,"Comedy, Romance",8.0,92.0,"39,200,000",Comedy,Romance,
Jaws,1975,A,124 min,"Adventure, Thriller",8.0,87.0,"260,000,000",Adventure,Thriller,
Dog Day Afternoon,1975,U,125 min,"Biography, Crime, Drama",8.0,86.0,"50,000,000",Biography,Crime,Drama
Young Frankenstein,1974,A,106 min,Comedy,8.0,80.0,"86,300,000",Comedy,,
Papillon,1973,R,151 min,"Biography, Crime, Drama",8.0,58.0,"53,267,000",Biography,Crime,Drama
The Exorcist,1973,A,122 min,Horror,8.0,81.0,"232,906,145",Horror,,
Sleuth,1972,PG,138 min,"Mystery, Thriller",8.0,,"4,081,254",Mystery,Thriller,
The Last Picture Show,1971,R,118 min,"Drama, Romance",8.0,93.0,"29,133,000",Drama,Romance,
Fiddler on the Roof,1971,G,181 min,"Drama, Family, Musical",8.0,67.0,"80,500,000",Drama,Family,Musical
Il conformista,1970,UA,113 min,Drama,8.0,100.0,"541,940",Drama,,
Butch Cassidy and the Sundance Kid,1969,PG,110 min,"Biography, Crime, Drama",8.0,66.0,"102,308,889",Biography,Crime,Drama
Rosemary's Baby,1968,A,137 min,"Drama, Horror",8.0,96.0,,Drama,Horror,
Planet of the Apes,1968,U,112 min,"Adventure, Sci-Fi",8.0,79.0,"33,395,426",Adventure,Sci-Fi,
The Graduate,1967,A,106 min,"Comedy, Drama, Romance",8.0,83.0,"104,945,305",Comedy,Drama,Romance
Who's Afraid of Virginia Woolf?,1966,A,131 min,Drama,8.0,75.0,,Drama,,
The Sound of Music,1965,U,172 min,"Biography, Drama, Family",8.0,63.0,"163,214,286",Biography,Drama,Family
Doctor Zhivago,1965,A,197 min,"Drama, Romance, War",8.0,69.0,"111,722,000",Drama,Romance,War
Per un pugno di dollari,1964,A,99 min,"Action, Drama, Western",8.0,65.0,"14,500,000",Action,Drama,Western
8½,1963,,138 min,Drama,8.0,91.0,"50,690",Drama,,
Vivre sa vie: Film en douze tableaux,1962,,80 min,Drama,8.0,,,Drama,,
The Hustler,1961,A,134 min,"Drama, Sport",8.0,90.0,"8,284,000",Drama,Sport,
La dolce vita,1960,A,174 min,"Comedy, Drama",8.0,95.0,"19,516,000",Comedy,Drama,
Rio Bravo,1959,Passed,141 min,"Action, Drama, Western",8.0,93.0,"12,535,000",Action,Drama,Western
Anatomy of a Murder,1959,,161 min,"Crime, Drama, Mystery",8.0,95.0,"11,900,000",Crime,Drama,Mystery
Touch of Evil,1958,PG-13,95 min,"Crime, Drama, Film-Noir",8.0,99.0,"2,237,659",Crime,Drama,Film-Noir
Cat on a Hot Tin Roof,1958,A,108 min,Drama,8.0,84.0,"17,570,324",Drama,,
Sweet Smell of Success,1957,Approved,96 min,"Drama, Film-Noir",8.0,100.0,,Drama,Film-Noir,
The Killing,1956,Approved,84 min,"Crime, Drama, Film-Noir",8.0,91.0,,Crime,Drama,Film-Noir
The Night of the Hunter,1955,,92 min,"Crime, Drama, Film-Noir",8.0,99.0,"654,000",Crime,Drama,Film-Noir
La Strada,1954,,108 min,Drama,8.0,,,Drama,,
Les diaboliques,1955,,117 min,"Crime, Drama, Horror",8.0,,,Crime,Drama,Horror
Stalag 17,1953,,120 min,"Comedy, Drama, War",8.0,84.0,,Comedy,Drama,War
Roman Holiday,1953,,118 min,"Comedy, Romance",8.0,78.0,,Comedy,Romance,
A Streetcar Named Desire,1951,A,122 min,Drama,8.0,97.0,"8,000,000",Drama,,
In a Lonely Place,1950,,94 min,"Drama, Film-Noir, Mystery",8.0,,,Drama,Film-Noir,Mystery
Kind Hearts and Coronets,1949,U,106 min,"Comedy, Crime",8.0,,,Comedy,Crime,
Rope,1948,A,80 min,"Crime, Drama, Mystery",8.0,73.0,,Crime,Drama,Mystery
Out of the Past,1947,,97 min,"Crime, Drama, Film-Noir",8.0,,,Crime,Drama,Film-Noir
Brief Encounter,1945,U,86 min,"Drama, Romance",8.0,92.0,,Drama,Romance,
Laura,1944,Passed,88 min,"Drama, Film-Noir, Mystery",8.0,,"4,360,000",Drama,Film-Noir,Mystery
The Best Years of Our Lives,1946,Approved,170 min,"Drama, Romance, War",8.0,93.0,"23,650,000",Drama,Romance,War
Arsenic and Old Lace,1942,,118 min,"Comedy, Crime, Thriller",8.0,,,Comedy,Crime,Thriller
The Maltese Falcon,1941,,100 min,"Film-Noir, Mystery",8.0,96.0,"2,108,060",Film-Noir,Mystery,
The Grapes of Wrath,1940,Passed,129 min,"Drama, History",8.0,96.0,"55,000",Drama,History,
The Wizard of Oz,1939,U,102 min,"Adventure, Family, Fantasy",8.0,92.0,"2,076,020",Adventure,Family,Fantasy
La règle du jeu,1939,,110 min,"Comedy, Drama",8.0,,,Comedy,Drama,
The Thin Man,1934,TV-PG,91 min,"Comedy, Crime, Mystery",8.0,86.0,,Comedy,Crime,Mystery
All Quiet on the Western Front,1930,U,152 min,"Drama, War",8.0,91.0,"3,270,000",Drama,War,
Bronenosets Potemkin,1925,,75 min,"Drama, History, Thriller",8.0,97.0,"50,970",Drama,History,Thriller
Knives Out,2019,UA,130 min,"Comedy, Crime, Drama",7.9,82.0,"165,359,751",Comedy,Crime,Drama
Dil Bechara,2020,UA,101 min,"Comedy, Drama, Romance",7.9,,,Comedy,Drama,Romance
Manbiki kazoku,2018,A,121 min,"Crime, Drama",7.9,93.0,"3,313,513",Crime,Drama,
Marriage Story,2019,U,137 min,"Comedy, Drama, Romance",7.9,94.0,"2,000,000",Comedy,Drama,Romance
Call Me by Your Name,2017,UA,132 min,"Drama, Romance",7.9,93.0,"18,095,701",Drama,Romance,
"I, Daniel Blake",2016,UA,100 min,Drama,7.9,78.0,"258,168",Drama,,
Isle of Dogs,2018,U,101 min,"Animation, Adventure, Comedy",7.9,82.0,"32,015,231",Animation,Adventure,Comedy
Hunt for the Wilderpeople,2016,UA,101 min,"Adventure, Comedy, Drama",7.9,81.0,"5,202,582",Adventure,Comedy,Drama
Captain Fantastic,2016,R,118 min,"Comedy, Drama",7.9,72.0,"5,875,006",Comedy,Drama,
Sing Street,2016,PG-13,106 min,"Comedy, Drama, Music",7.9,79.0,"3,237,118",Comedy,Drama,Music
Thor: Ragnarok,2017,UA,130 min,"Action, Adventure, Comedy",7.9,74.0,"315,058,289",Action,Adventure,Comedy
Nightcrawler,2014,A,117 min,"Crime, Drama, Thriller",7.9,76.0,"32,381,218",Crime,Drama,Thriller
Jojo Rabbit,2019,UA,108 min,"Comedy, Drama, War",7.9,58.0,"349,555",Comedy,Drama,War
Arrival,2016,UA,116 min,"Drama, Sci-Fi",7.9,81.0,"100,546,139",Drama,Sci-Fi,
Star Wars: Episode VII - The Force Awakens,2015,U,138 min,"Action, Adventure, Sci-Fi",7.9,80.0,"936,662,225",Action,Adventure,Sci-Fi
Before Midnight,2013,R,109 min,"Drama, Romance",7.9,94.0,"8,114,627",Drama,Romance,
X-Men: Days of Future Past,2014,UA,132 min,"Action, Adventure, Sci-Fi",7.9,75.0,"233,921,534",Action,Adventure,Sci-Fi
Bir Zamanlar Anadolu'da,2011,,157 min,"Crime, Drama",7.9,82.0,"138,730",Crime,Drama,
The Artist,2011,U,100 min,"Comedy, Drama, Romance",7.9,89.0,"44,671,682",Comedy,Drama,Romance
Edge of Tomorrow,2014,UA,113 min,"Action, Adventure, Sci-Fi",7.9,71.0,"100,206,256",Action,Adventure,Sci-Fi
Amour,2012,UA,127 min,"Drama, Romance",7.9,94.0,"6,739,492",Drama,Romance,
The Irishman,2019,R,209 min,"Biography, Crime, Drama",7.9,94.0,"7,000,000",Biography,Crime,Drama
Un prophète,2009,A,155 min,"Crime, Drama",7.9,90.0,"2,084,637",Crime,Drama,
Moon,2009,R,97 min,"Drama, Mystery, Sci-Fi",7.9,67.0,"5,009,677",Drama,Mystery,Sci-Fi
Låt den rätte komma in,2008,R,114 min,"Crime, Drama, Fantasy",7.9,82.0,"2,122,065",Crime,Drama,Fantasy
District 9,2009,A,112 min,"Action, Sci-Fi, Thriller",7.9,81.0,"115,646,235",Action,Sci-Fi,Thriller
The Wrestler,2008,UA,109 min,"Drama, Sport",7.9,80.0,"26,236,603",Drama,Sport,
Jab We Met,2007,U,138 min,"Comedy, Drama, Romance",7.9,,"410,800",Comedy,Drama,Romance
Boyhood,2014,A,165 min,Drama,7.9,100.0,"25,379,975",Drama,,
"4 luni, 3 saptamâni si 2 zile",2007,,113 min,Drama,7.9,97.0,"1,185,783",Drama,,
Star Trek,2009,UA,127 min,"Action, Adventure, Sci-Fi",7.9,82.0,"257,730,019",Action,Adventure,Sci-Fi
In Bruges,2008,R,107 min,"Comedy, Crime, Drama",7.9,67.0,"7,757,130",Comedy,Crime,Drama
The Man from Earth,2007,,87 min,"Drama, Fantasy, Mystery",7.9,,,Drama,Fantasy,Mystery
Letters from Iwo Jima,2006,UA,141 min,"Action, Adventure, Drama",7.9,89.0,"13,756,082",Action,Adventure,Drama
The Fall,2006,R,117 min,"Adventure, Drama, Fantasy",7.9,64.0,"2,280,348",Adventure,Drama,Fantasy
Life of Pi,2012,U,127 min,"Adventure, Drama, Fantasy",7.9,79.0,"124,987,023",Adventure,Drama,Fantasy
Fantastic Mr. Fox,2009,PG,87 min,"Animation, Adventure, Comedy",7.9,83.0,"21,002,919",Animation,Adventure,Comedy
C.R.A.Z.Y.,2005,,129 min,"Comedy, Drama",7.9,81.0,,Comedy,Drama,
Les choristes,2004,PG-13,97 min,"Drama, Music",7.9,56.0,"3,635,164",Drama,Music,
Iron Man,2008,UA,126 min,"Action, Adventure, Sci-Fi",7.9,79.0,"318,412,101",Action,Adventure,Sci-Fi
Shaun of the Dead,2004,UA,99 min,"Comedy, Horror",7.9,76.0,"13,542,874",Comedy,Horror,
Gegen die Wand,2004,R,121 min,"Drama, Romance",7.9,78.0,,Drama,Romance,
Mystic River,2003,A,138 min,"Crime, Drama, Mystery",7.9,84.0,"90,135,191",Crime,Drama,Mystery
Harry Potter and the Prisoner of Azkaban,2004,U,142 min,"Adventure, Family, Fantasy",7.9,82.0,"249,358,727",Adventure,Family,Fantasy
Ying xiong,2002,PG-13,120 min,"Action, Adventure, History",7.9,85.0,"53,710,019",Action,Adventure,History
Hable con ella,2002,R,112 min,"Drama, Mystery, Romance",7.9,86.0,"9,284,265",Drama,Mystery,Romance
No Man's Land,2001,R,98 min,"Comedy, Drama, War",7.9,84.0,"1,059,830",Comedy,Drama,War
Cowboy Bebop: Tengoku no tobira,2001,U,115 min,"Animation, Action, Crime",7.9,61.0,"1,000,045",Animation,Action,Crime
The Bourne Identity,2002,UA,119 min,"Action, Mystery, Thriller",7.9,68.0,"121,661,683",Action,Mystery,Thriller
Nueve reinas,2000,R,114 min,"Crime, Drama, Thriller",7.9,80.0,"1,221,261",Crime,Drama,Thriller
Children of Men,2006,A,109 min,"Adventure, Drama, Sci-Fi",7.9,84.0,"35,552,383",Adventure,Drama,Sci-Fi
Almost Famous,2000,A,122 min,"Adventure, Comedy, Drama",7.9,90.0,"32,534,850",Adventure,Comedy,Drama
Mulholland Dr.,2001,R,147 min,"Drama, Mystery, Thriller",7.9,85.0,"7,220,243",Drama,Mystery,Thriller
Toy Story 2,1999,U,92 min,"Animation, Adventure, Comedy",7.9,88.0,"245,852,179",Animation,Adventure,Comedy
Boogie Nights,1997,R,155 min,Drama,7.9,85.0,"26,400,640",Drama,,
Mimi wo sumaseba,1995,U,111 min,"Animation, Drama, Family",7.9,75.0,,Animation,Drama,Family
Once Were Warriors,1994,A,102 min,"Crime, Drama",7.9,77.0,"2,201,126",Crime,Drama,
True Romance,1993,R,119 min,"Crime, Drama, Romance",7.9,59.0,"12,281,500",Crime,Drama,Romance
Trois couleurs: Bleu,1993,U,94 min,"Drama, Music, Mystery",7.9,85.0,"1,324,974",Drama,Music,Mystery
Jûbê ninpûchô,1993,A,94 min,"Animation, Action, Adventure",7.9,,,Animation,Action,Adventure
Carlito's Way,1993,A,144 min,"Crime, Drama, Thriller",7.9,65.0,"36,948,322",Crime,Drama,Thriller
Edward Scissorhands,1990,U,105 min,"Drama, Fantasy, Romance",7.9,74.0,"56,362,352",Drama,Fantasy,Romance
My Left Foot: The Story of Christy Brown,1989,U,103 min,"Biography, Drama",7.9,97.0,"14,743,391",Biography,Drama,
Crimes and Misdemeanors,1989,PG-13,104 min,"Comedy, Drama",7.9,77.0,"18,254,702",Comedy,Drama,
The Untouchables,1987,A,119 min,"Crime, Drama, Thriller",7.9,79.0,"76,270,454",Crime,Drama,Thriller
Hannah and Her Sisters,1986,PG-13,107 min,"Comedy, Drama",7.9,90.0,"40,084,041",Comedy,Drama,
Brazil,1985,U,132 min,"Drama, Sci-Fi",7.9,84.0,"9,929,135",Drama,Sci-Fi,
This Is Spinal Tap,1984,R,82 min,"Comedy, Music",7.9,92.0,"188,751",Comedy,Music,
A Christmas Story,1983,U,93 min,"Comedy, Family",7.9,77.0,"20,605,209",Comedy,Family,
The Blues Brothers,1980,U,133 min,"Action, Adventure, Comedy",7.9,60.0,"57,229,890",Action,Adventure,Comedy
Manhattan,1979,R,96 min,"Comedy, Drama, Romance",7.9,83.0,"45,700,000",Comedy,Drama,Romance
All That Jazz,1979,A,123 min,"Drama, Music, Musical",7.9,72.0,"37,823,676",Drama,Music,Musical
Dawn of the Dead,1978,A,127 min,"Action, Adventure, Horror",7.9,71.0,"5,100,000",Action,Adventure,Horror
All the President's Men,1976,U,138 min,"Biography, Drama, History",7.9,84.0,"70,600,000",Biography,Drama,History
La montaña sagrada,1973,R,114 min,"Adventure, Drama, Fantasy",7.9,76.0,"61,001",Adventure,Drama,Fantasy
Amarcord,1973,R,123 min,"Comedy, Drama, Family",7.9,,,Comedy,Drama,Family
Le charme discret de la bourgeoisie,1972,PG,102 min,Comedy,7.9,93.0,"198,809",Comedy,,
"Aguirre, der Zorn Gottes",1972,,95 min,"Action, Adventure, Biography",7.9,,,Action,Adventure,Biography
Harold and Maude,1971,PG,91 min,"Comedy, Drama, Romance",7.9,62.0,,Comedy,Drama,Romance
Patton,1970,U,172 min,"Biography, Drama, War",7.9,91.0,"61,700,000",Biography,Drama,War
The Wild Bunch,1969,A,145 min,"Action, Adventure, Western",7.9,97.0,"12,064,472",Action,Adventure,Western
Night of the Living Dead,1968,,96 min,"Horror, Thriller",7.9,89.0,"89,029",Horror,Thriller,
The Lion in Winter,1968,PG,134 min,"Biography, Drama, History",7.9,,"22,276,975",Biography,Drama,History
In the Heat of the Night,1967,U,110 min,"Crime, Drama, Mystery",7.9,75.0,"24,379,978",Crime,Drama,Mystery
Charade,1963,U,113 min,"Comedy, Mystery, Romance",7.9,83.0,"13,474,588",Comedy,Mystery,Romance
The Manchurian Candidate,1962,PG-13,126 min,"Drama, Thriller",7.9,94.0,,Drama,Thriller,
Spartacus,1960,A,197 min,"Adventure, Biography, Drama",7.9,87.0,"30,000,000",Adventure,Biography,Drama
L'avventura,1960,U,144 min,"Drama, Mystery",7.9,,,Drama,Mystery,
Hiroshima mon amour,1959,,90 min,"Drama, Romance",7.9,,"88,300",Drama,Romance,
The Ten Commandments,1956,U,220 min,"Adventure, Drama",7.9,,"93,740,000",Adventure,Drama,
The Searchers,1956,Passed,119 min,"Adventure, Drama, Western",7.9,94.0,,Adventure,Drama,Western
East of Eden,1955,U,118 min,Drama,7.9,72.0,,Drama,,
High Noon,1952,PG,85 min,"Drama, Thriller, Western",7.9,89.0,"9,450,000",Drama,Thriller,Western
Strangers on a Train,1951,A,101 min,"Crime, Film-Noir, Thriller",7.9,88.0,"7,630,000",Crime,Film-Noir,Thriller
Harvey,1950,Approved,104 min,"Comedy, Drama, Fantasy",7.9,,,Comedy,Drama,Fantasy
Miracle on 34th Street,1947,,96 min,"Comedy, Drama, Family",7.9,88.0,"2,650,000",Comedy,Drama,Family
Notorious,1946,U,102 min,"Drama, Film-Noir, Romance",7.9,100.0,"10,464,000",Drama,Film-Noir,Romance
The Big Sleep,1946,Passed,114 min,"Crime, Film-Noir, Mystery",7.9,,"6,540,000",Crime,Film-Noir,Mystery
The Lost Weekend,1945,Passed,101 min,"Drama, Film-Noir",7.9,,"9,460,000",Drama,Film-Noir,
The Philadelphia Story,1940,,112 min,"Comedy, Romance",7.9,96.0,,Comedy,Romance,
His Girl Friday,1940,Passed,92 min,"Comedy, Drama, Romance",7.9,,"296,000",Comedy,Drama,Romance
The Adventures of Robin Hood,1938,PG,102 min,"Action, Adventure, Romance",7.9,97.0,"3,981,000",Action,Adventure,Romance
A Night at the Opera,1935,Passed,96 min,"Comedy, Music, Musical",7.9,,"2,537,520",Comedy,Music,Musical
King Kong,1933,Passed,100 min,"Adventure, Horror, Sci-Fi",7.9,90.0,"10,000,000",Adventure,Horror,Sci-Fi
Freaks,1932,,64 min,"Drama, Horror",7.9,80.0,,Drama,Horror,
Nosferatu,1922,,94 min,"Fantasy, Horror",7.9,,,Fantasy,Horror,
The Gentlemen,2019,A,113 min,"Action, Comedy, Crime",7.8,51.0,,Action,Comedy,Crime
Raazi,2018,UA,138 min,"Action, Drama, Thriller",7.8,,,Action,Drama,Thriller
Sound of Metal,2019,R,120 min,"Drama, Music",7.8,81.0,,Drama,Music,
Forushande,2016,UA,124 min,Drama,7.8,85.0,"2,402,067",Drama,,
Dunkirk,2017,UA,106 min,"Action, Drama, History",7.8,94.0,"188,373,161",Action,Drama,History
Perfetti sconosciuti,2016,,96 min,"Comedy, Drama",7.8,,,Comedy,Drama,
Hidden Figures,2016,UA,127 min,"Biography, Drama, History",7.8,74.0,"169,607,287",Biography,Drama,History
Paddington 2,2017,U,103 min,"Adventure, Comedy, Family",7.8,88.0,"40,442,052",Adventure,Comedy,Family
Udta Punjab,2016,A,148 min,"Action, Crime, Drama",7.8,,,Action,Crime,Drama
Kubo and the Two Strings,2016,PG,101 min,"Animation, Action, Adventure",7.8,84.0,"48,023,088",Animation,Action,Adventure
M.S. Dhoni: The Untold Story,2016,U,184 min,"Biography, Drama, Sport",7.8,,"1,782,795",Biography,Drama,Sport
Manchester by the Sea,2016,UA,137 min,Drama,7.8,96.0,"47,695,120",Drama,,
Under sandet,2015,R,100 min,"Drama, History, War",7.8,75.0,"435,266",Drama,History,War
Rogue One,2016,UA,133 min,"Action, Adventure, Sci-Fi",7.8,65.0,"532,177,324",Action,Adventure,Sci-Fi
Captain America: Civil War,2016,UA,147 min,"Action, Adventure, Sci-Fi",7.8,75.0,"408,084,349",Action,Adventure,Sci-Fi
The Hateful Eight,2015,A,168 min,"Crime, Drama, Mystery",7.8,68.0,"54,117,416",Crime,Drama,Mystery
Little Women,2019,U,135 min,"Drama, Romance",7.8,91.0,"108,101,214",Drama,Romance,
Loving Vincent,2017,UA,94 min,"Animation, Biography, Crime",7.8,62.0,"6,735,118",Animation,Biography,Crime
Pride,2014,R,119 min,"Biography, Comedy, Drama",7.8,79.0,,Biography,Comedy,Drama
Le passé,2013,PG-13,130 min,"Drama, Mystery",7.8,85.0,"1,330,596",Drama,Mystery,
La grande bellezza,2013,,141 min,Drama,7.8,86.0,"2,852,400",Drama,,
The Lunchbox,2013,U,104 min,"Drama, Romance",7.8,76.0,"4,231,500",Drama,Romance,
Vicky Donor,2012,UA,126 min,"Comedy, Romance",7.8,,"169,209",Comedy,Romance,
Big Hero 6,2014,U,102 min,"Animation, Action, Adventure",7.8,74.0,"222,527,828",Animation,Action,Adventure
About Time,2013,R,123 min,"Comedy, Drama, Fantasy",7.8,55.0,"15,322,921",Comedy,Drama,Fantasy
English Vinglish,2012,U,134 min,"Comedy, Drama, Family",7.8,,"1,670,773",Comedy,Drama,Family
Kaze tachinu,2013,PG-13,126 min,"Animation, Biography, Drama",7.8,83.0,"5,209,580",Animation,Biography,Drama
Toy Story 4,2019,U,100 min,"Animation, Adventure, Comedy",7.8,84.0,"434,038,008",Animation,Adventure,Comedy
La migliore offerta,2013,R,131 min,"Crime, Drama, Mystery",7.8,49.0,"85,433",Crime,Drama,Mystery
Moonrise Kingdom,2012,A,94 min,"Comedy, Drama, Romance",7.8,84.0,"45,512,466",Comedy,Drama,Romance
How to Train Your Dragon 2,2014,U,102 min,"Animation, Action, Adventure",7.8,76.0,"177,002,924",Animation,Action,Adventure
The Big Short,2015,A,130 min,"Biography, Comedy, Drama",7.8,81.0,"70,259,870",Biography,Comedy,Drama
Kokuhaku,2010,,106 min,"Drama, Thriller",7.8,,,Drama,Thriller,
Ang-ma-reul bo-at-da,2010,,144 min,"Action, Crime, Drama",7.8,67.0,"128,392",Action,Crime,Drama
The Girl with the Dragon Tattoo,2011,R,158 min,"Crime, Drama, Mystery",7.8,71.0,"102,515,793",Crime,Drama,Mystery
Captain Phillips,2013,UA,134 min,"Adventure, Biography, Crime",7.8,82.0,"107,100,855",Adventure,Biography,Crime
Ajeossi,2010,R,119 min,"Action, Crime, Drama",7.8,,"6,460",Action,Crime,Drama
Straight Outta Compton,2015,R,147 min,"Biography, Drama, History",7.8,72.0,"161,197,785",Biography,Drama,History
Madeo,2009,R,129 min,"Crime, Drama, Mystery",7.8,79.0,"547,292",Crime,Drama,Mystery
Chugyeokja,2008,,125 min,"Action, Crime, Thriller",7.8,64.0,,Action,Crime,Thriller
The Hobbit: The Desolation of Smaug,2013,UA,161 min,"Adventure, Fantasy",7.8,66.0,"258,366,855",Adventure,Fantasy,
Das weiße Band - Eine deutsche Kindergeschichte,2009,UA,144 min,"Drama, History, Mystery",7.8,82.0,"2,222,647",Drama,History,Mystery
Män som hatar kvinnor,2009,R,152 min,"Crime, Drama, Mystery",7.8,76.0,"10,095,170",Crime,Drama,Mystery
The Trial of the Chicago 7,2020,R,129 min,"Drama, History, Thriller",7.8,77.0,,Drama,History,Thriller
Druk,2020,,117 min,"Comedy, Drama",7.8,81.0,,Comedy,Drama,
The Fighter,2010,UA,116 min,"Biography, Drama, Sport",7.8,79.0,"93,617,009",Biography,Drama,Sport
Taken,2008,A,90 min,"Action, Thriller",7.8,51.0,"145,000,989",Action,Thriller,
The Boy in the Striped Pyjamas,2008,PG-13,94 min,"Drama, History, War",7.8,55.0,"9,030,581",Drama,History,War
Once,2007,R,86 min,"Drama, Music, Romance",7.8,88.0,"9,439,923",Drama,Music,Romance
